row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000165949,4029.319461,8.725837823,0.590767419,13.07763016,4.42E-39,1.37E-34
ENSG00000133742,619.6274838,7.120665211,0.904715685,6.765291361,1.33E-11,3.29E-09
ENSG00000250361,29.69302355,6.914588337,1.075135591,5.50124876,3.77E-08,5.78E-06
ENSG00000188536,7835.55743,6.814133301,0.995785056,5.838743279,5.26E-09,9.25E-07
ENSG00000253709,60.45318678,6.562471268,0.752119348,7.395729529,1.41E-13,4.35E-11
ENSG00000206177,223.9451053,6.523781283,1.086617642,5.083463649,3.71E-07,4.92E-05
ENSG00000223609,816.5044049,6.470994455,0.816120955,6.703656393,2.03E-11,4.88E-09
ENSG00000087116,270.7360993,6.378302017,0.792600598,6.785639614,1.16E-11,2.89E-09
ENSG00000158578,2590.956906,6.370656744,0.988295507,5.434262025,5.50E-08,8.23E-06
ENSG00000204010,149.5304061,6.15261149,0.995135753,5.177797578,2.25E-07,3.05E-05
ENSG00000169877,174.7585534,6.138096854,1.109931238,4.629202854,3.67E-06,0.000417738
ENSG00000143416,273.1867551,6.100090127,0.844647359,6.038129494,1.56E-09,2.91E-07
ENSG00000112077,14.85596191,5.990703673,0.849496248,5.874897843,4.23E-09,7.57E-07
ENSG00000211950,1342.26246,5.832530159,0.407563876,11.8571111,1.98E-32,8.74E-29
ENSG00000076864,40.91027235,5.741695614,0.831882251,5.699960074,1.20E-08,2.01E-06
ENSG00000004939,161.2630197,5.676338338,0.902795475,5.179842462,2.22E-07,3.03E-05
ENSG00000170439,183.2505806,5.630286472,0.650064256,7.122813517,1.06E-12,2.92E-10
ENSG00000281990,594.0186534,5.616879387,0.853761625,5.407691388,6.38E-08,9.41E-06
ENSG00000166947,136.9164181,5.562255965,0.789002323,5.782309928,7.37E-09,1.27E-06
ENSG00000196565,13.07436148,5.537161522,0.84524502,5.367865431,7.97E-08,1.16E-05
ENSG00000170180,4.574300343,5.482236824,0.890058521,5.035890023,4.76E-07,6.27E-05
ENSG00000137869,18.07612287,5.337905243,0.792165814,5.476006623,4.35E-08,6.63E-06
ENSG00000211896,48454.29809,5.281747951,0.426963216,10.02837665,1.14E-23,1.54E-20
ENSG00000154277,30.94451932,5.227372792,0.464152595,9.107721972,8.41E-20,5.92E-17
ENSG00000282122,641.7609036,5.171362078,1.089578021,3.828419809,0.000128969,0.010262456
ENSG00000115884,90.35834913,5.140476575,0.486620116,8.508642451,1.76E-17,9.56E-15
ENSG00000129538,319.0872467,5.120694108,0.431048925,9.559690027,1.18E-21,1.18E-18
ENSG00000188403,4.050114338,4.951709534,0.818715456,4.826719108,1.39E-06,0.000166529
ENSG00000244734,103943.2833,4.923837801,0.961291944,4.081837808,4.47E-05,0.004008855
ENSG00000103175,8.115098674,4.923468007,0.736685337,5.325839692,1.00E-07,1.45E-05
ENSG00000211625,519.2415042,4.91216684,0.629418348,6.215527164,5.12E-10,1.00E-07
ENSG00000211946,1291.66685,4.848045123,0.501145633,7.678496764,1.61E-14,5.54E-12
ENSG00000211961,80.70487067,4.794384689,0.851081479,4.458309554,8.26E-06,0.000875707
