,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CASP17P,936.266926404244,7.66095844067856,0.610809912589814,10.9051249879628,1.08943450088524e-27,2.54133942356502e-24
AL022578.1,31.4171303489689,7.49481738218263,0.695506123410676,9.33826053224786,9.79296999008404e-21,7.61473366514677e-18
PCSK1N,397.734055689759,7.10900571371339,0.70685921004978,8.64246461934501,5.50131932750284e-18,2.80722010308731e-15
CXCL11,68.5619399955789,7.00482146843774,0.497274728294367,12.0754607599587,1.4236456453389e-33,7.74890324757963e-30
CCN5,88.7008370274856,6.45660078146806,0.520209073504193,10.4892456886838,9.67980646195071e-26,1.75623955241326e-22
CXCL10,197.054056733712,6.40041935595377,0.390045893461338,13.8455998293674,1.35247023212192e-43,2.20844864203188e-39
SYNPO2L,52.6235778818579,6.12787557656156,0.499608208196352,10.2637936936101,1.02595169460362e-24,1.28867424778327e-21
PLA2G7,155.016343169766,5.82951153015097,0.420187199192299,11.4937140860894,1.41878074029447e-30,5.79181767706711e-27
OSR1,32.1402590243681,5.59971251179784,0.593234198538186,7.75361994155459,8.93093560827951e-15,2.3907089761901e-12
WNT7A,10.0884392863644,5.42550391543856,0.640196963172275,6.91272244327669,4.75439632215828e-12,8.6039129781355e-10
CXCR2P1,13.7062861636892,5.16945446594548,0.512802952390353,8.13071462734411,4.26766958231682e-16,1.48269737467343e-13
SEMA6D,27.7564616473348,5.1616070186491,0.504740812835348,8.2450376764097,1.65108187326256e-16,6.24627321081041e-14
FLT1,105.315317119418,5.07454932626429,0.442280602342999,9.21258880601864,3.18352574622557e-20,2.16599132958822e-17
SEPTIN4,110.638365570797,5.01690140974068,0.523537723598425,7.67261121535114,1.685297224003e-14,4.29987787042892e-12
GRIA4,15.9898034106514,4.88873119074654,0.551635033973265,7.04946377813815,1.79608579466689e-12,3.62077591865625e-10
SYT2,29.2520607143778,4.72008618418641,0.519988311787165,7.15417269938381,8.41790359932916e-13,1.78514218017462e-10
TMCO5B,6.55962835849222,4.67999740157224,0.698062015880133,5.27173419818928,1.35140698963421e-07,1.06091945835274e-05
OPRM1,93.4692144295976,4.65048614213921,0.402358536518706,9.07271950465875,1.16082826980655e-19,7.2904480067966e-17
APOA2,16.4466664163616,4.58492105698298,0.560588154159619,6.39492830945949,1.60622698737458e-10,2.32106906874685e-08
AC009299.1,8.12904181339762,4.58218292430221,0.562473724576031,6.36862268900172,1.90733169658225e-10,2.68489821323203e-08
MS4A2,24.2598569117497,4.52134725520681,0.561783813263715,6.26815364214455,3.65354206238723e-10,4.81118454328395e-08
TAC4,34.0020436151836,4.51558870393874,0.500380188386301,7.02583512603951,2.12789613452951e-12,4.23736780252834e-10
SIGLEC1,28.7847566215648,4.49261358135964,0.407504757858158,8.57073080500161,1.02830366940797e-17,4.93857959345964e-15
ALOX15P1,49.9895488208413,4.41940109594103,0.465646849293721,7.34333562253771,2.08335224752763e-13,4.79141673941954e-11
FAM180B,17.1918672491066,4.38315861846249,0.47893315935403,7.06394734293527,1.618380932404e-12,3.30331778065312e-10
ROCK1P1,51.9050810545604,4.2783789774718,0.419175877059683,7.82101059934091,5.24009318971567e-15,1.47526692577357e-12
SIM1,5.96815135989449,4.26059537362511,0.592999875379252,5.4984756473006,3.83088432983474e-08,3.38132487685791e-06
CXCL9,110.704717548056,4.06596369525258,0.358163709545952,8.56022989916911,1.12642672809995e-17,5.25526344089831e-15
DGKA,298.130519868729,4.06029755770952,0.373808541067708,8.18680479843613,2.6825273158606e-16,9.73399745348618e-14
FPR3,36.4785199547303,4.05227263986275,0.353654641215119,8.63065907851646,6.09994490681142e-18,3.0183636479795e-15
IFIT2,585.751666346044,4.03542919767458,0.290377578215877,10.4533869878133,1.41383984265357e-25,2.30865907906902e-22
