"row" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "SYMBOL"
"ENSG00000105281" 1017.897663 -2.409559572 0.121707405 -19.79797013 3.1e-87 1.95e-84 "SLC1A5"
"ENSG00000090776" 150.2885888 -4.623175862 0.312655163 -14.78682076 1.78e-49 5.6e-47 "EFNB1"
"ENSG00000134954" 169.1075566 3.080863452 0.210905376 14.6077995 2.5e-48 5.25e-46 "ETS1"
"ENSG00000213923" 93.20353515 5.752572258 0.469561251 12.2509518 1.66e-34 2.61e-32 "CSNK1E"
"ENSG00000099204" 144.2596362 -3.766087945 0.311404353 -12.09388342 1.14e-33 1.43e-31 "ABLIM1"
"ENSG00000204197" 80.84320625 4.38817226 0.367488576 11.94097597 7.24e-33 7.59e-31 "KIFC1"
"ENSG00000144583" 59.32259935 4.566348076 0.429403025 10.63417771 2.07e-26 1.86e-24 "MARCH4"
"ENSG00000152127" 108.6396664 -2.64192408 0.265964097 -9.933386161 2.98e-23 2.34e-21 "MGAT5"
"ENSG00000129625" 52.50276002 5.937070975 0.658318169 9.018543397 1.91e-19 1.33e-17 "REEP5"
"ENSG00000171310" 82.00523865 -2.563370311 0.292174093 -8.773434641 1.73e-18 1.09e-16 "CHST11"
"ENSG00000122641" 139.2621904 8.947049497 1.038060306 8.619007435 6.75e-18 3.86e-16 "INHBA"
"ENSG00000272405" 65.63621009 -2.801386209 0.347133439 -8.070055764 7.03e-16 3.68e-14 NA
"ENSG00000137710" 39.22071764 6.102280469 0.782557195 7.797871529 6.3e-15 3.05e-13 "RDX"
"ENSG00000185591" 41.13713479 -5.194424884 0.668355395 -7.77195026 7.73e-15 3.47e-13 "SP1"
"ENSG00000131746" 61.64842496 -9.241026894 1.204869348 -7.669733575 1.72e-14 7.23e-13 "TNS4"
"ENSG00000090530" 66.02386215 8.758921335 1.204890297 7.269476196 3.61e-13 1.42e-11 "P3H2"
"ENSG00000087095" 71.25361767 -2.119255136 0.299820742 -7.068407356 1.57e-12 5.8e-11 "NLK"
"ENSG00000168938" 63.29808499 1.918795805 0.286155126 6.705439221 2.01e-11 7.02e-10 "PPIC"
"ENSG00000182985" 27.28290855 -4.148649897 0.62123704 -6.678046593 2.42e-11 8.02e-10 "CADM1"
"ENSG00000167258" 29.40369632 -5.308721275 0.800370298 -6.632831435 3.29e-11 1.04e-09 "CDK12"
"ENSG00000176788" 21.1544405 8.082188048 1.245995953 6.486528331 8.78e-11 2.63e-09 "BASP1"
"ENSG00000112195" 24.97067567 -7.933867998 1.239651692 -6.400078385 1.55e-10 4.44e-09 "TREML2"
"ENSG00000166025" 18.4061804 7.873278194 1.264285478 6.22745284 4.74e-10 1.3e-08 "AMOTL1"
"ENSG00000163032" 21.85661518 -7.74252782 1.245710233 -6.215352189 5.12e-10 1.34e-08 "VSNL1"
"ENSG00000100393" 19.24259894 4.729293079 0.771715941 6.128282218 8.88e-10 2.24e-08 "EP300"
"ENSG00000262860" 39.47368799 2.236268705 0.36746359 6.085687848 1.16e-09 2.81e-08 "LSM14A"
"ENSG00000163378" 34.47965845 2.464799913 0.412461423 5.975831379 2.29e-09 5.33e-08 "EOGT"
"ENSG00000145354" 26.75846452 -3.467101142 0.583106431 -5.945914773 2.75e-09 6.18e-08 "CISD2"
"ENSG00000229645" 17.5113206 -7.421728981 1.260507502 -5.887889577 3.91e-09 8.48e-08 NA
"ENSG00000163132" 16.1016134 -7.308453734 1.264035346 -5.781842854 7.39e-09 1.55e-07 "MSX1"
"ENSG00000175793" 141.0024258 1.082845335 0.189360565 5.718431064 1.08e-08 2.18e-07 "SFN"
"ENSG00000257103" 166.461871 -0.998502715 0.178075133 -5.60719904 2.06e-08 4.04e-07 "LSM14A"
"ENSG00000111331" 44.99470897 1.774710581 0.325795324 5.447317528 5.11e-08 9.75e-07 "OAS3"
"ENSG00000198947" 9.794380743 6.970620251 1.318022382 5.288696417 1.23e-07 2.28e-06 "DMD"
"ENSG00000171320" 12.03185574 -6.891655339 1.305483654 -5.279005462 1.3e-07 2.33e-06 "ESCO2"
"ENSG00000166454" 17.24114717 -4.936644964 0.939528703 -5.254384405 1.49e-07 2.59e-06 "ATMIN"
"ENSG00000266714" 12.02640293 -6.87594134 1.311913433 -5.241154763 1.6e-07 2.71e-06 "MYO15B"
"ENSG00000146592" 14.23744146 4.566471883 0.876120773 5.212148856 1.87e-07 3.09e-06 "CREB5"
"ENSG00000213762" 13.48479211 4.522439428 0.873798198 5.175610841 2.27e-07 3.66e-06 "ZNF134"
"ENSG00000157064" 21.24594853 -2.757920373 0.533716209 -5.167391066 2.37e-07 3.73e-06 "NMNAT2"
"ENSG00000110092" 40.43624489 -1.991297836 0.40326498 -4.937938905 7.9e-07 1.21e-05 "CCND1"
"ENSG00000159921" 7.972105661 6.679867982 1.35595416 4.926322866 8.38e-07 1.24e-05 "GNE"
"ENSG00000197417" 12.50649918 6.348998329 1.289249646 4.924568606 8.45e-07 1.24e-05 "SHPK"
"ENSG00000169499" 19.87292937 -3.082887696 0.628496743 -4.905176882 9.33e-07 1.33e-05 "PLEKHA2"
"ENSG00000267368" 17.57593971 -2.975995413 0.609096904 -4.885914532 1.03e-06 1.44e-05 "UPK3BL1"
"ENSG00000267368" 17.57593971 -2.975995413 0.609096904 -4.885914532 1.03e-06 1.44e-05 "UPK3BL2"
"ENSG00000177807" 9.023284248 -6.465874124 1.330240391 -4.860680947 1.17e-06 1.6e-05 "KCNJ10"
"ENSG00000138395" 14.57074202 -3.588620635 0.748343433 -4.795419423 1.62e-06 2.17e-05 "CDK15"
"ENSG00000119537" 13.12372853 4.482253598 0.936703093 4.785138037 1.71e-06 2.19e-05 "KDSR"
"ENSG00000120457" 8.543507252 -6.387830649 1.334067167 -4.788237659 1.68e-06 2.19e-05 "KCNJ5"
"ENSG00000053254" 26.61856251 -2.111464849 0.452059933 -4.670763089 3e-06 3.78e-05 "FOXN3"
"ENSG00000112787" 7.746520296 -6.244837669 1.349940897 -4.626008207 3.73e-06 4.6e-05 "FBRSL1"
"ENSG00000254353" 10.42931291 6.067672839 1.312865314 4.621702451 3.81e-06 4.6e-05 NA
"ENSG00000126351" 12.46552793 -5.946488018 1.29719743 -4.584104071 4.56e-06 5.41e-05 "THRA"
"ENSG00000141510" 13.93391926 -3.275360478 0.732354765 -4.472368633 7.74e-06 9.01e-05 "TP53"
"ENSG00000144677" 16.53417949 -2.739359235 0.614683222 -4.456538161 8.33e-06 9.53e-05 "CTDSPL"
"ENSG00000197183" 20.20080568 -2.338052776 0.528268418 -4.425880288 9.6e-06 0.000107884 "NOL4L"
"ENSG00000160007" 59.4612692 -1.24796207 0.283756879 -4.39799759 1.09e-05 0.000120563 "ARHGAP35"
"ENSG00000260502" 6.645206867 -6.027575295 1.373346274 -4.388969782 1.14e-05 0.000123511 NA
"ENSG00000231083" 6.583640599 -6.016355345 1.372087613 -4.384818642 1.16e-05 0.000123756 NA
"ENSG00000019995" 6.358041643 -5.96375997 1.377450302 -4.329564531 1.49e-05 0.000156626 "ZRANB1"
"ENSG00000182107" 6.487962304 -6.003180073 1.39415487 -4.305963565 1.66e-05 0.000171439 "TMEM30B"
"ENSG00000055332" 10.84943228 3.845167753 0.899579047 4.274407867 1.92e-05 0.000194428 "EIF2AK2"
"ENSG00000211584" 11.61610151 -3.535087913 0.838214442 -4.217402772 2.47e-05 0.00024674 "SLC48A1"
"ENSG00000266658" 23694.06085 -0.524421362 0.125046347 -4.193815922 2.74e-05 0.000269586 NA
"ENSG00000136238" 118.9324805 0.948846065 0.22834595 4.155300603 3.25e-05 0.000314365 "RAC1"
