row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000134954,131.1460369,-10.45313883,1.194145955,-8.753652583,2.07E-18,5.26E-17,ETS1
ENSG00000175793,83.06928667,-9.794875867,1.202483397,-8.145539382,3.78E-16,8.36E-15,SFN
ENSG00000156802,78.57613624,-9.714241273,1.208363043,-8.039174424,9.04E-16,1.95E-14,ATAD2
ENSG00000134107,77.31832299,-9.690645497,1.212980295,-7.989120296,1.36E-15,2.85E-14,BHLHE40
ENSG00000204197,66.75631657,-9.478924157,1.210601931,-7.829926516,4.88E-15,9.89E-14,KIFC1
ENSG00000144583,49.38444637,-9.046241022,1.217960317,-7.427369265,1.11E-13,1.97E-12,Mar-04
ENSG00000168938,43.56967389,-8.865758416,1.229214974,-7.212536945,5.49E-13,8.85E-12,PPIC
ENSG00000140632,41.13141297,-8.779543462,1.226325621,-7.15922697,8.11E-13,1.30E-11,GLYR1
ENSG00000133131,33.39090521,-8.481978657,1.236515506,-6.859581311,6.91E-12,9.54E-11,MORC4
ENSG00000169991,32.60891459,-8.443012188,1.243422507,-6.790139426,1.12E-11,1.50E-10,IFFO2
ENSG00000013588,32.08258868,-8.421394376,1.253801989,-6.716686089,1.86E-11,2.47E-10,GPRC5A
ENSG00000163378,25.27827169,-8.080033779,1.258767666,-6.419003282,1.37E-10,1.60E-09,EOGT
ENSG00000170471,24.73757196,-8.044424125,1.263140791,-6.368588664,1.91E-10,2.18E-09,RALGAPB
ENSG00000129625,44.90223905,-7.939767007,1.224080618,-6.486310533,8.80E-11,1.06E-09,REEP5
ENSG00000087111,41.31040648,-7.821100329,1.220114936,-6.410134077,1.45E-10,1.69E-09,PIGS
ENSG00000038358,20.82723737,-7.802270655,1.273112645,-6.12849985,8.87E-10,9.32E-09,EDC4
ENSG00000020577,20.05274387,-7.742702617,1.273993905,-6.077503657,1.22E-09,1.26E-08,SAMD4A
ENSG00000100393,16.05302557,-7.425735145,1.299243569,-5.715429593,1.09E-08,1.01E-07,EP300
ENSG00000166025,16.06554854,-7.420738402,1.311321594,-5.658976741,1.52E-08,1.40E-07,AMOTL1
ENSG00000140694,14.81196021,-7.306991518,1.304679482,-5.600602766,2.14E-08,1.92E-07,PARN
