row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000272523,79.48858408,-3.508618678,0.36623044,-9.580357863,9.67E-22,2.95E-18
ENSG00000163220,99.64571989,-3.241714054,0.355085749,-9.129383723,6.89E-20,1.05E-16
ENSG00000023171,65.99368194,3.188679731,0.409889044,7.779372925,7.29E-15,7.40E-12
ENSG00000255255,188.8812863,-1.725013809,0.22770302,-7.575717741,3.57E-14,2.72E-11
ENSG00000172785,82.66460973,-4.618955534,0.674865434,-6.844261537,7.69E-12,4.68E-09
ENSG00000179766,6377.524177,1.000948932,0.161124051,6.21228752,5.22E-10,2.65E-07
ENSG00000186150,724.3703736,0.976404536,0.16282363,5.996700461,2.01E-09,8.77E-07
ENSG00000167614,244.7216319,1.479097422,0.25504376,5.799386826,6.66E-09,2.54E-06
ENSG00000034053,15.21764405,-7.560800028,1.337774537,-5.651774511,1.59E-08,3.99E-06
ENSG00000159184,31.55405268,-2.789429688,0.496661113,-5.616364192,1.95E-08,3.99E-06
ENSG00000182492,21.65560097,-4.318873133,0.76913581,-5.615228254,1.96E-08,3.99E-06
ENSG00000202290,349.3935588,-1.371852075,0.242386173,-5.659778604,1.52E-08,3.99E-06
ENSG00000226298,4786.875198,-0.760246742,0.133869687,-5.679005907,1.35E-08,3.99E-06
ENSG00000263859,15.01098296,-7.539194082,1.32299388,-5.698585758,1.21E-08,3.99E-06
ENSG00000264712,20.47418786,-3.656216842,0.648981732,-5.633774669,1.76E-08,3.99E-06
ENSG00000106031,50.88026868,-2.421888829,0.439052234,-5.516174711,3.46E-08,6.60E-06
ENSG00000162188,24.52777019,-3.69557407,0.696241395,-5.30789191,1.11E-07,1.99E-05
ENSG00000163956,35.95224917,-2.4532224,0.473593767,-5.180014125,2.22E-07,3.76E-05
ENSG00000175699,23.3841683,3.0460895,0.596788619,5.104134705,3.32E-07,5.33E-05
ENSG00000172460,269.2628245,-1.197335419,0.237080654,-5.050329486,4.41E-07,6.72E-05
ENSG00000008282,427.6862083,0.864985656,0.171836972,5.033757557,4.81E-07,6.98E-05
ENSG00000156273,72.44258934,2.047893701,0.410075425,4.993943981,5.92E-07,8.19E-05
ENSG00000115507,55.10694036,-2.528513544,0.5090525,-4.967097779,6.80E-07,9.00E-05
ENSG00000161016,75.92503079,1.810694323,0.371060348,4.879783935,1.06E-06,0.000134832
ENSG00000179600,296.7980404,-1.106635406,0.228516767,-4.842687997,1.28E-06,0.000156121
ENSG00000170558,239.0353059,0.920006138,0.191790873,4.796923458,1.61E-06,0.000188822
ENSG00000226103,4034.666907,-0.682676283,0.14533851,-4.697146549,2.64E-06,0.000297727
ENSG00000047617,1336.483629,-0.710438005,0.151696314,-4.683291163,2.82E-06,0.000307208
ENSG00000176605,63.75099778,-2.736963211,0.586439264,-4.667087247,3.05E-06,0.000310286
ENSG00000178084,61.67821248,1.534107799,0.328358057,4.672057725,2.98E-06,0.000310286
ENSG00000224945,6480.108161,-0.671616501,0.14507026,-4.629594668,3.66E-06,0.000360118
ENSG00000225931,3268.618157,-0.684864562,0.151863207,-4.50974646,6.49E-06,0.000618019
ENSG00000139154,6231.487689,-0.980169002,0.217919106,-4.497857115,6.86E-06,0.000633793
ENSG00000137801,14.99633401,3.67857032,0.820104473,4.485489889,7.27E-06,0.000651938
ENSG00000226174,5254.571806,-0.614698671,0.137233352,-4.479222166,7.49E-06,0.000652193
ENSG00000196678,26.05224849,-2.298857286,0.537382835,-4.277876288,1.89E-05,0.001597007
ENSG00000225185,2601.082617,-0.601628789,0.141181015,-4.261400084,2.03E-05,0.001672969
ENSG00000175520,1511.786147,-0.813508665,0.19533498,-4.164685018,3.12E-05,0.002500005
ENSG00000132000,41.03445778,1.697238661,0.408871913,4.151027759,3.31E-05,0.0025563
ENSG00000167615,35757.32358,-1.393252491,0.335895878,-4.14787017,3.36E-05,0.0025563
ENSG00000196683,128.8832711,1.315248828,0.317591958,4.141316543,3.45E-05,0.002566302
ENSG00000176256,29.205663,2.10556295,0.514357541,4.09357846,4.25E-05,0.002950254
ENSG00000224943,6650.9365,-0.578851954,0.141428654,-4.092890226,4.26E-05,0.002950254
ENSG00000226172,10041.95118,-0.586716897,0.143225599,-4.096452749,4.20E-05,0.002950254
ENSG00000128510,246.3987151,-3.905652903,0.984421899,-3.967458369,7.26E-05,0.004831818
ENSG00000182087,4162.603876,-0.727824568,0.183494302,-3.966469593,7.29E-05,0.004831818
ENSG00000163545,134.9826321,-0.874093842,0.223542769,-3.910186168,9.22E-05,0.005978928
ENSG00000226814,187.6005874,1.082698753,0.279949094,3.867484396,0.000109964,0.006980414
ENSG00000179776,20.34090459,-2.207342345,0.578067233,-3.818487227,0.000134273,0.00834956
ENSG00000144369,6949.664506,-0.567738299,0.148977152,-3.810908522,0.000138457,0.00843757
ENSG00000267368,10.71310445,3.41784915,0.900519589,3.795418989,0.000147394,0.008806088
ENSG00000201843,29.94791842,1.940613828,0.517394994,3.750739478,0.000176314,0.010136381
ENSG00000212866,27.32431005,-7.425193362,1.977692649,-3.754472852,0.000173707,0.010136381
ENSG00000176095,29.04439049,1.773208004,0.47406808,3.74040793,0.000183722,0.010366675
ENSG00000186019,159.3581912,1.235755716,0.331596863,3.726680959,0.000194018,0.010748586
ENSG00000170584,376.1498471,1.014673554,0.273490498,3.710087048,0.000207188,0.011273247
ENSG00000172915,31.02760209,1.750962525,0.473773085,3.695783028,0.00021921,0.011718127
ENSG00000225050,4696.382189,-0.535379078,0.146382829,-3.657389889,0.000254797,0.013385611
ENSG00000173641,34.05602129,-1.465037116,0.407789206,-3.592633391,0.000327353,0.01690584
ENSG00000144485,1033.237325,-1.047141186,0.293762349,-3.564586094,0.000364431,0.018507012
ENSG00000226232,7612.283732,-0.483961821,0.136797384,-3.537800274,0.000403475,0.020153913
ENSG00000161082,56.94328655,1.208796924,0.34292021,3.525009286,0.000423468,0.020811401
ENSG00000153815,15.34587393,-3.880077331,1.108849462,-3.499192147,0.00046667,0.022570539
ENSG00000153786,17.51371479,-2.851215393,0.818919203,-3.481680957,0.000498277,0.023506017
ENSG00000226658,74.12881075,-1.134728017,0.326072638,-3.479985394,0.000501441,0.023506017
ENSG00000226620,21.88725358,1.79163013,0.518422938,3.455923726,0.00054841,0.025318284
ENSG00000172765,368.2916532,0.966735152,0.28193519,3.428926882,0.000605973,0.027558194
ENSG00000172900,17.29887023,2.000261563,0.588801644,3.397173874,0.000680857,0.030508397
ENSG00000078124,6.269543359,4.944813919,1.462116113,3.381957066,0.000719714,0.03178215
ENSG00000176754,55.68088093,1.213802029,0.364908978,3.32631451,0.000880026,0.038306262
ENSG00000179218,43.20505038,-1.254876706,0.379020476,-3.310841461,0.000930159,0.039363808
ENSG00000187823,234.4130143,-0.698207564,0.210776446,-3.312550231,0.000924495,0.039363808
ENSG00000065457,46.56966459,1.185011311,0.362364836,3.270216073,0.001074654,0.043659595
ENSG00000175745,15.84049364,-2.579326819,0.788702057,-3.270343721,0.001074169,0.043659595
ENSG00000180210,30.86380387,-1.914810661,0.584622973,-3.275291511,0.00105553,0.043659595
