Gene,symbol
ENSG00000105281,SLC1A5
ENSG00000090776,EFNB1
ENSG00000134954,ETS1
ENSG00000213923,CSNK1E
ENSG00000099204,ABLIM1
ENSG00000204197,KIFC1
ENSG00000144583,Mar-04
ENSG00000152127,MGAT5
ENSG00000129625,REEP5
ENSG00000171310,CHST11
ENSG00000122641,INHBA
ENSG00000137710,RDX
ENSG00000185591,SP1
ENSG00000131746,TNS4
ENSG00000090530,P3H2
ENSG00000087095,NLK
ENSG00000168938,PPIC
ENSG00000182985,CADM1
ENSG00000167258,CDK12
ENSG00000176788,BASP1
ENSG00000112195,TREML2
ENSG00000166025,AMOTL1
ENSG00000163032,VSNL1
ENSG00000100393,EP300
ENSG00000262860,LSM14A
ENSG00000163378,EOGT
ENSG00000145354,CISD2
ENSG00000163132,MSX1
ENSG00000175793,SFN
ENSG00000257103,LSM14A
ENSG00000111331,OAS3
ENSG00000198947,DMD
ENSG00000171320,ESCO2
ENSG00000166454,ATMIN
ENSG00000266714,MYO15B
ENSG00000146592,CREB5
ENSG00000213762,ZNF134
ENSG00000157064,NMNAT2
ENSG00000110092,CCND1
ENSG00000159921,GNE
ENSG00000197417,SHPK
ENSG00000169499,PLEKHA2
ENSG00000267368,UPK3BL1
ENSG00000177807,KCNJ10
ENSG00000138395,CDK15
ENSG00000119537,KDSR
ENSG00000120457,KCNJ5
ENSG00000053254,FOXN3
ENSG00000112787,FBRSL1
ENSG00000126351,THRA
ENSG00000141510,TP53
ENSG00000144677,CTDSPL
ENSG00000197183,NOL4L
ENSG00000160007,ARHGAP35
ENSG00000019995,ZRANB1
ENSG00000182107,TMEM30B
ENSG00000055332,EIF2AK2
ENSG00000211584,SLC48A1
ENSG00000136238,RAC1
ENSG00000074416,MGLL
ENSG00000148677,ANKRD1
ENSG00000261115,TMEM178B
ENSG00000070444,MNT
ENSG00000213639,PPP1CB
ENSG00000140632,GLYR1
ENSG00000184185,KCNJ12
ENSG00000128891,CCDC32
ENSG00000172992,DCAKD
ENSG00000054793,ATP9A
ENSG00000087111,PIGS
ENSG00000237945,LINC00649
ENSG00000168952,STXBP6
ENSG00000183474,GTF2H2C
ENSG00000148344,PTGES
ENSG00000182446,NPLOC4
ENSG00000197622,CDC42SE1
ENSG00000069667,RORA
ENSG00000105983,LMBR1
ENSG00000149547,EI24
ENSG00000134107,BHLHE40
ENSG00000107731,UNC5B
ENSG00000113761,ZNF346
ENSG00000117707,PROX1
ENSG00000197461,PDGFA
ENSG00000162545,CAMK2N1
ENSG00000168280,KIF5C
ENSG00000151466,SCLT1
ENSG00000148516,ZEB1
ENSG00000157657,ZNF618
ENSG00000075413,MARK3
ENSG00000082898,XPO1
ENSG00000157851,DPYSL5
ENSG00000013297,CLDN11
ENSG00000134802,SLC43A3
ENSG00000102466,FGF14
ENSG00000117560,FASLG
ENSG00000188322,SBK1
ENSG00000100226,GTPBP1
ENSG00000172508,CARNS1
ENSG00000102678,FGF9
ENSG00000167291,TBC1D16
ENSG00000067715,SYT1
ENSG00000167244,IGF2
ENSG00000267058,LOC100505715
ENSG00000020129,NCDN
ENSG00000166483,WEE1
ENSG00000158864,NDUFS2
ENSG00000134779,TPGS2
ENSG00000184007,PTP4A2
ENSG00000069011,PITX1
ENSG00000174799,CEP135
ENSG00000179295,PTPN11
ENSG00000123159,GIPC1
ENSG00000124164,VAPB
ENSG00000103942,HOMER2
ENSG00000269821,KCNQ1OT1
ENSG00000144218,AFF3
ENSG00000152767,FARP1
ENSG00000138814,PPP3CA
ENSG00000108349,CASC3
ENSG00000117036,ETV3
ENSG00000184937,WT1
ENSG00000198087,CD2AP
ENSG00000173391,OLR1
ENSG00000132669,RIN2
ENSG00000213859,KCTD11
ENSG00000169991,IFFO2
ENSG00000213626,LBH
ENSG00000143816,WNT9A
ENSG00000164916,FOXK1
ENSG00000166888,STAT6
ENSG00000011454,GPR21
ENSG00000213853,EMP2
ENSG00000103034,NDRG4
ENSG00000169047,IRS1
