Gene,symbol
ENSG00000272523,LINC01023
ENSG00000163220,S100A9
ENSG00000023171,GRAMD1B
ENSG00000172785,CBWD1
ENSG00000179766,ATP8B5P
ENSG00000186150,UBL4B
ENSG00000167614,TTYH1
ENSG00000034053,APBA2
ENSG00000159184,HOXB13
ENSG00000182492,BGN
ENSG00000264712,MIR4504
ENSG00000106031,HOXA13
ENSG00000162188,GNG3
ENSG00000163956,LRPAP1
ENSG00000175699,CCDC197
ENSG00000172460,PRSS30P
ENSG00000008282,SYPL1
ENSG00000156273,BACH1
ENSG00000115507,OTX1
ENSG00000161016,RPL8
ENSG00000179600,GPHB5
ENSG00000170558,CDH2
ENSG00000226103,C6orf47
ENSG00000047617,ANO2
ENSG00000176605,C14orf177
ENSG00000178084,HTR3C
ENSG00000139154,AEBP2
ENSG00000137801,THBS1
ENSG00000226174,TEX22
ENSG00000196678,ERI2
ENSG00000175520,UBQLN3
ENSG00000132000,PODNL1
ENSG00000167615,LENG8
ENSG00000196683,TOMM7
ENSG00000176256,HMGB4
ENSG00000226172,LOC105378933
ENSG00000128510,CPA4
ENSG00000182087,TMEM259
ENSG00000163545,NUAK2
ENSG00000179776,CDH5
ENSG00000144369,FAM171B
ENSG00000267368,UPK3BL1
ENSG00000212866,HSPA1B
ENSG00000176095,IP6K1
ENSG00000186019,LOC100379224
ENSG00000170584,NUDCD2
ENSG00000172915,NBEA
ENSG00000173641,HSPB7
ENSG00000144485,HES6
ENSG00000161082,CELF5
ENSG00000153815,CMIP
ENSG00000153786,ZDHHC7
ENSG00000172765,TMCC1
ENSG00000172900,FLJ42102
ENSG00000078124,ACER3
ENSG00000176754,LINC00303
ENSG00000179218,CALR
ENSG00000187823,RTL4
ENSG00000065457,ADAT1
ENSG00000175745,NR2F1
ENSG00000180210,F2
ENSG00000185271,KLHL33
ENSG00000170606,HSPA4
