,TCCSUPPi_R1,TCCSUPPi_R2,TCCSUPPi_R3,TCCSUP_R1,TCCSUP_R2,TCCSUP_R3
ENSG00000000003,0,0,1,0,0,0
ENSG00000000005,9,8,0,2,3,5
ENSG00000000419,1,0,1,1,1,1
ENSG00000000457,0,0,2,1,1,0
ENSG00000000460,0,0,0,2,0,2
ENSG00000000938,1,2,1,0,1,3
ENSG00000000971,0,0,0,0,0,0
ENSG00000001036,2,4,0,1,1,1
ENSG00000001084,0,0,1,1,0,1
ENSG00000001167,0,1,2,0,0,0
ENSG00000001460,6,6,0,2,9,8
ENSG00000001461,0,0,0,0,0,0
ENSG00000001497,0,0,0,0,0,0
ENSG00000001561,1,1,0,0,0,0
ENSG00000001617,0,0,0,3,0,3
ENSG00000001626,1,0,1,0,0,0
ENSG00000001629,0,0,0,0,0,0
ENSG00000001630,0,0,0,0,0,0
ENSG00000001631,0,1,0,0,1,0
ENSG00000002016,0,0,0,0,0,0
ENSG00000002079,0,0,0,0,0,0
ENSG00000002330,0,0,0,0,0,0
ENSG00000002549,0,0,0,0,0,0
ENSG00000002586,1,1,0,0,1,0
ENSG00000002587,9,3,1,7,4,4
ENSG00000002726,0,0,0,0,0,0
ENSG00000002745,1,2,0,0,0,1
ENSG00000002746,4,2,0,1,1,0
ENSG00000002822,0,0,0,0,0,0
ENSG00000002834,2,1,0,1,1,1
ENSG00000002919,2,6,0,4,7,6
ENSG00000002933,5,5,2,6,5,7
ENSG00000003056,2,1,1,2,2,2
ENSG00000003096,1,0,1,3,0,0
ENSG00000003137,0,0,0,0,0,1
ENSG00000003147,1,0,0,0,0,0
ENSG00000003249,1,1,0,1,0,0
ENSG00000003393,0,0,1,0,1,1
ENSG00000003400,1,0,0,0,0,1
ENSG00000003402,0,0,0,0,0,0
ENSG00000003436,0,0,0,0,0,0
ENSG00000003509,1,0,0,0,0,0
ENSG00000003756,0,0,3,0,1,0
ENSG00000003987,0,0,0,0,0,0
ENSG00000003989,0,0,0,0,0,0
ENSG00000004059,0,0,0,0,0,0
ENSG00000004139,0,0,0,0,0,0
ENSG00000004142,0,0,0,0,0,0
ENSG00000004399,1,4,0,1,0,1
ENSG00000004455,0,0,0,0,0,0
ENSG00000004468,0,0,0,0,0,0
ENSG00000004478,0,0,0,0,0,0
ENSG00000004487,0,0,0,0,0,0
ENSG00000004534,0,0,0,0,0,0
ENSG00000004660,0,0,0,0,0,0
ENSG00000004700,0,0,0,0,0,0
ENSG00000004766,0,0,0,0,0,0
ENSG00000004776,0,0,0,0,0,0
ENSG00000004777,0,0,0,0,0,0
ENSG00000004779,0,0,0,0,0,0
ENSG00000004799,0,1,0,1,1,1
ENSG00000004809,0,0,0,0,0,0
ENSG00000004838,0,0,0,0,0,0
ENSG00000004846,0,0,0,0,0,0
ENSG00000004848,0,0,0,0,0,0
ENSG00000004864,0,0,0,0,0,0
ENSG00000004866,0,0,0,1,0,1
ENSG00000004897,0,0,0,0,0,0
ENSG00000004939,0,0,0,0,0,0
ENSG00000004948,0,0,0,0,0,0
ENSG00000004961,0,0,0,0,0,0
ENSG00000004975,0,0,0,0,0,0
ENSG00000005001,0,0,0,0,0,0
ENSG00000005007,0,0,0,0,0,0
ENSG00000005020,0,0,0,0,0,0
ENSG00000005022,0,0,0,0,0,0
ENSG00000005059,0,0,0,0,0,0
ENSG00000005073,1,3,0,4,3,2
ENSG00000005075,0,0,0,0,0,0
ENSG00000005100,0,0,0,0,0,0
ENSG00000005102,0,0,0,0,0,0
ENSG00000005108,0,0,0,0,0,0
ENSG00000005156,0,0,0,0,0,0
ENSG00000005175,0,0,0,0,0,0
ENSG00000005187,0,0,0,0,0,0
ENSG00000005189,0,0,0,0,0,0
ENSG00000005194,0,0,0,0,0,0
ENSG00000005206,0,0,0,0,0,0
ENSG00000005238,0,0,0,0,0,0
ENSG00000005243,0,0,0,0,0,0
ENSG00000005249,0,0,0,0,0,0
ENSG00000005302,0,0,0,0,0,0
ENSG00000005339,0,0,0,0,0,0
ENSG00000005379,0,0,0,0,0,0
ENSG00000005381,0,0,0,0,0,0
ENSG00000005421,0,0,0,0,0,0
ENSG00000005436,0,0,0,0,0,0
ENSG00000005448,0,0,0,0,0,0
ENSG00000005469,0,0,0,0,0,0
ENSG00000005471,0,0,0,0,0,0
ENSG00000005483,0,0,0,0,0,0
ENSG00000005486,0,0,0,0,0,0
ENSG00000005513,0,0,0,0,0,0
ENSG00000005700,0,0,0,0,0,0
ENSG00000005801,0,0,0,0,0,0
ENSG00000005810,0,0,0,0,0,0
ENSG00000005812,0,0,0,0,0,0
ENSG00000005844,0,0,0,0,0,0
ENSG00000005882,0,0,0,0,0,0
ENSG00000005884,0,0,0,0,0,0
ENSG00000005889,0,0,0,0,0,0
ENSG00000005893,1,0,0,2,3,4
ENSG00000005955,0,0,0,0,0,0
ENSG00000005961,0,0,0,0,0,0
ENSG00000005981,0,0,0,0,0,0
ENSG00000006007,0,0,0,0,0,0
ENSG00000006015,0,0,0,0,0,0
ENSG00000006016,0,0,0,0,0,0
ENSG00000006025,0,0,0,0,0,0
ENSG00000006042,1,2,3,1,1,1
ENSG00000006047,0,0,0,0,0,0
ENSG00000006059,0,0,0,0,0,0
ENSG00000006062,0,0,0,0,0,0
ENSG00000006071,0,0,0,0,0,0
ENSG00000006074,0,0,0,0,0,0
ENSG00000006075,0,1,0,0,0,0
ENSG00000006114,0,0,0,0,0,1
ENSG00000006116,0,0,0,0,0,0
ENSG00000006118,0,0,0,1,0,0
ENSG00000006125,0,0,0,0,0,0
ENSG00000006128,0,0,0,0,0,0
ENSG00000006194,0,0,0,0,0,0
ENSG00000006210,0,0,0,0,0,0
ENSG00000006282,0,0,0,0,0,0
